ˈwaɪz.li	wisely
ˈæl.kəʊv	alcove
həʊˈtel	hotel
ˈɪnstrəmənt	instrument
belt	belt
lɑːft	loft
tiːz	tease
ˈfaɪ.bər	fibre
ˈmɔːrəli	morally
ˈɡɑːrdn	garden
ˈtʃeɪn.dʒə.bl̩	changeable
ˈnaɪsli	nicely
trəˈdɪʃənl	traditional
ˈkaʊntər	counter
ˈvæk.juːm	vacuum
ˈdəʊl.fəl	doleful
ˌæt.esˈteɪ.ʃən	attestation
frɪdʒ	fridge
ˈrɪd.l̩	riddle
kreɪv	crave
ˈtɔː.ment	torment
ˈhɑːrt.bɝːn	heartburn
swɜːv	swerve
ˈkɒɡ.nɪ.zəns	cognizance,cognizance
ˈɔːdnri	ordinary
ɡruːp	group
ˈsteɪ.pl̩	staple
əˈdɪʃn	addition
drɔːn	drawn
ˈæd.və.keɪt	advocate
nuːn	noon
ˈfrendʃɪp	friendship
dʒɔɪ	joy
kɑːˈtuːn	cartoon
feə(r)	fair
ˈæv.ə.njuː	avenue
ˈdeb.ɪt	debit
bɪˈheɪvjə(r)	behaviour
ˌdɪs.əˈbeɪ	disobey
ˈfɔːrən	foreign
prɪˈper	prepare
ˌselɪˈbreɪʃn	celebration
ˈkaʊ.bɔɪ	cowboy
əˈsend	ascend
oʊts	oats
ɪkˈsep.ʃən.əl	exceptional
ˈθer.ə.pi	therapy
ˈsker.i	scary
ˈmɪləteri	military
ˈpær.ə.ɡrɑːf	paragraph
skwɒʃ	squash
ˈnɔːml	normal
ˈdes.tɪ.ni	destiny
ˈdrʌŋ.kən	drunken
ɪkˈstɪə.ri.ər	exterior
ˈprɒv.ən.əns	provenance
ˈjʊə.rəp	Europe
ɡaɪd	guide
ˈpæsɪndʒə(r)	passenger
draʊn	drown
ˈfɝː.ðɚ.mɔːr	furthermore
kənˈtræk.tər	contractor
həˈluː.sɪ.neɪt	hallucinate
ˈplenti	plenty
təˈwɔːdz	towards
væst	vast
ˈpær.ə.daɪs	paradise
kʊkt	cooked
ˈed.ɪ.bl̩	edible
iːst	east
pɔːz	pause
ˈtɒpɪk	topic
ˈɡlɔːr.i	glory
dɪˈvel.ə.pɪŋ	developing
ˈkɔː.lɪŋ	calling
koʊˈhɪr	cohere
ˈfaɪə(r)	fire
tʌf	tough
plɒt	plot
ˈmɔː.bɪd	morbid
ˌriː.ɪnˈfɔːs	reinforce
pəˈhæps	perhaps
dʒæz	jazz
ˈruːmər	rumour
skɔːrtʃ	scorch
læm	lamb
ˈpætn	pattern
ˈɒkjupaɪd	occupied
nɪtʃ	niche
ˈbɜːθdeɪ	birthday
mʌnθ	month
sepˈtembər	September
koʊk	coke
θred	thread
ˈprɑː.sɪ.kjuː.t̬ɚ	prosecutor
jɔːrˈself	yourself
loʊn	loan,lone
ˌfɔːˈtiːn	fourteen
æbˈdʌkt	abduct
ˈdeɪ.briː	debris
ˈsoʊ.lɚ	solar
ˈdɪf.ər	differ
ɪnˈves.tər	investor
ˈtjuː.mʌlt	tumult
toʊn	tone
ˈtempəreri	temporary
steɪn	stain
fɪb	fib
dɑːn	dawn,darn
bær.ɪ.ˈkeɪd	barricade
ˈfɪk.sɪd.li	fixedly
ˌriːˈbɪld	rebuild
soʊ	so,sew,sow
ˈæd.ɪkt	addict
vɜːdʒ	verge
ˈdaʊt.fəl	doubtful
ˈprəʊ.sest	processed
ˈflaɪ.ər	flyer
kwəʊˈteɪ.ʃən	quotation
striːt	street
ɪnˈsjuː	ensue
ˈkɪd.næp.ɪŋ	kidnapping
ˈprɒt.ɪ.stənt	Protestant
ˈɡreɪ.tɪŋ	grating
ˈheɪ.zi	hazy
ˈɔːlmoʊst	almost
ˈmænɪdʒə(r)	manager
ˈpɒkɪt	pocket
rɪˈzɜːrv	reserve
pætʃ	patch
ˈmæt.rəs	mattress
ˈvɑː.mɪt	vomit
ˈɔːltə(r)	alter
ˈɡəʊ.ɪŋ	going
ˈdɪs.ɪ.peɪt	dissipate
luːm	loom
ˈmiː.di.eɪt	mediate
ɪnˈvenʃn	invention
ˈlaɪ.ə.bl̩	liable
ˈkɒm.peər	compere
ruːt	route,root
ɪkˈsplɪs.ɪt	explicit
ˈsæk.rɪ.faɪs	sacrifice
frɔːd	fraud
ˈhoʊ.stɪs	hostess
ˈɑːn.wɚd	onward
ˈklæsruːm	classroom
ˈreb.əl	rebel
ˌded.ɪˈkeɪ.ʃən	dedication
ɪnˈkʌr.ɪ.dʒɪŋ	encouraging
ˈpɜːrfɪktli	perfectly
ˌedʒuˈkeɪʃn	education
ˈfiːd.bæk	feedback
ɑːk	arc,ark
draʊt	drought
ˈɔː.tɒp.si	autopsy
tel	tell
ˈmiːnɪŋ	meaning
ˈbʊlɪt	bullet
ˈtemprətʃə(r)	temperature
rɪˈsɔːs	resource
kəˈrɪk.jʊ.ləm	curriculum
ˈkɑː.lən.dɚ	colander
rʌn	run
nɒk	knock
ˈæl.bəm	album
ˌbækˈjɑːd	backyard
ˈper.ɪʃ	perish
drɑːp	drop
ɪmˈplɔɪə(r)	employer
ˈklæt̬.ɚ	clatter
mæʃ	mash
ˈpɔɪn.ti	pointy
ˈdɪʃˌwɒʃ.ər	dishwasher
ˈbʊk.i	bookie
ˈɑːr.mɚ	armour
ˈeɪn.dʒəl	angel
əˈnɔɪɪŋ	annoying
səˈspens	suspense
bækˈtɪəriə	bacteria
pæsˈtel	pastel
ˈbrɪl.i.əns	brilliance
ˈsɪmpli	simply
bɑːˈbeə.ri.ən	barbarian
ˈsed.ə.tɪv	sedative
ˈsɜː.vər	server
ˈriː.fleks	reflex
ˌdɪs.əˈplɪn.ər.i	disciplinary
ˈbɔɪ.lər	boiler
səˈvaɪv	survive
ˈsenət	senate
kənˈdʌk.tər	conductor
əˈbjuːsɪv	abusive
ˈdʒɪt.ər	jitter
məʊp	mope
bɪˈfɔːr	before
ˈsplɪn.tər	splinter
ɔːˈdæs.ə.ti	audacity
ˈkʌr.i	curry
ˈkɔːfi	coffee
ˈter.ɪ.tər.i	territory
ˈhænd.lɪŋ	handling
ˈbeɪ.biˌsɪt.ər	babysitter
ɪnˈvest	invest
ˈhær.əs	harass
ˌɪndəˈrekt	indirect
θæŋk	thank
ˈɒn.wəd	onward
ˈbɑː.stəd	bastard
ˈvəʊ.kəl	vocal
ɪkˌsper.ɪˈmen.təl	experimental
ˈkɪd.ni	kidney
kæp	cap
ˈtʌtʃ.ɪŋ	touching
ˈmæn.hʊd	manhood
ˈtiːtʃər	teacher
kənˈsen.səs	consensus
suːˈpɜː.flu.əs	superfluous
ˈmeɪbi	maybe
